Group num: 0, TC(X;Y_j): 7.701
indigo_5, 0.977
indigo_2, 0.810
indigo_1, 0.701
indigo_10, 0.672
indigo_7, 0.624
indigo_4, 0.541
indigo_9, 0.499
indigo_6, 0.465
indigo_11, 0.271
indigo_12, 0.107
darkslategrey_7, 0.009
darkolivegreen_1, 0.007
tomato_0, 0.006
indianred_6, 0.006
blanchedalmond_3, 0.005
black_0, 0.005
greenyellow_0, 0.005
green_10, 0.005
yellow_11, 0.004
palegreen_6, 0.004
gold_10, 0.004
darkslategrey_1, 0.004
greenyellow_2, 0.004
black_10, 0.003
chartreuse_2, 0.003
gold_1, 0.003
lightcoral_5, 0.003
yellow_7, 0.003
greenyellow_5, 0.003
indianred_4, 0.003
black_13, 0.003
palegreen_3, 0.003
darkslategrey_0, 0.003
black_8, 0.003
firebrick_8, 0.003
darkolivegreen_2, 0.003
darkslategrey_4, 0.003
gold_4, 0.003
darkslategrey_3, 0.003
lightcoral_0, 0.003
lightcoral_2, 0.003
mistyrose_0, 0.003
green_13, 0.003
green_8, 0.003
indianred_3, 0.003
greenyellow_4, 0.003
black_1, 0.003
mediumspringgreen_3, 0.003
black_11, 0.003
lightcoral_4, 0.002
palegreen_7, 0.002
black_14, 0.002
yellow_0, 0.002
papayawhip_4, 0.002
blue_10, 0.002
gold_2, 0.002
tomato_1, 0.002
papayawhip_0, 0.002
gold_0, 0.002
orangered_4, 0.002
yellow_2, 0.002
firebrick_6, 0.002
yellow_5, 0.002
green_6, 0.002
indianred_8, 0.002
gold_6, 0.002
lightcoral_7, 0.002
firebrick_7, 0.002
darkslategrey_6, 0.002
springgreen_0, 0.002
black_6, 0.002
darkslategrey_2, 0.002
yellow_12, 0.002
red_13, 0.002
green_14, 0.002
red_12, 0.002
seashell_5, 0.002
indianred_1, 0.002
yellow_4, 0.002
aquamarine_0, 0.002
tomato_6, 0.001
hotpink_11, 0.001
chartreuse_3, 0.001
greenyellow_3, 0.001
darkseagreen_1, 0.001
lightcoral_6, 0.001
palegreen_5, 0.001
black_2, 0.001
seashell_4, 0.001
seashell_1, 0.001
tomato_4, 0.001
gold_8, 0.001
red_4, 0.001
firebrick_3, 0.001
orangered_0, 0.001
tomato_2, 0.001
red_3, 0.001
green_2, 0.001
darkslategrey_5, 0.001
indianred_2, 0.001
hotpink_6, 0.001
firebrick_5, 0.001
springgreen_1, 0.001
firebrick_1, 0.001
papayawhip_3, 0.001
firebrick_0, 0.001
firebrick_11, 0.001
greenyellow_6, 0.001
lightcoral_3, 0.001
blue_5, 0.001
hotpink_7, 0.001
darkolivegreen_4, 0.001
green_12, 0.001
palegreen_4, 0.001
indianred_10, 0.001
chartreuse_0, 0.001
indianred_7, 0.001
green_1, 0.001
darkolivegreen_3, 0.001
darkseagreen_0, 0.001
seashell_2, 0.001
tomato_7, 0.001
black_12, 0.001
mistyrose_1, 0.001
tomato_3, 0.001
mistyrose_6, 0.001
orangered_6, 0.001
gold_5, 0.001
yellow_10, 0.001
firebrick_2, 0.001
dimgray_3, 0.001
peachpuff_1, 0.001
darkolivegreen_6, 0.001
black_7, 0.001
gold_3, 0.001
orangered_2, 0.001
blanchedalmond_1, 0.001
darkolivegreen_0, 0.001
seashell_0, 0.001
tomato_5, 0.001
hotpink_9, 0.001
yellow_1, 0.001
red_7, 0.001
mediumspringgreen_2, 0.001
green_11, 0.001
darkolivegreen_9, 0.001
gold_9, 0.001
red_11, 0.001
mistyrose_2, 0.001
pink_8, 0.001
greenyellow_1, 0.001
yellow_3, 0.000
blue_12, 0.000
indianred_0, 0.000
pink_0, 0.000
lightcoral_8, 0.000
black_9, 0.000
hotpink_5, 0.000
gold_11, 0.000
mistyrose_4, 0.000
mediumspringgreen_4, 0.000
aquamarine_1, 0.000
pink_9, 0.000
darkseagreen_7, 0.000
palegreen_1, 0.000
darkseagreen_9, 0.000
yellow_9, 0.000
darkseagreen_2, 0.000
gold_12, 0.000
mediumspringgreen_1, 0.000
darkseagreen_8, 0.000
lightcoral_1, 0.000
papayawhip_2, 0.000
